SKU,Descripción,Precio
017MADBAP,Cuchiillo Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,0
017MADBA,"Cuchillo Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",0
014MADBA,Mantel Bambú 24x24 cm BOLSA 1 Pza. *15,0
006.6MADBA,Palillo Bambú adorno/bolita madera de colores 9 cm PACK 100 Pzas. *15,0
006.7MADBA,Palillo Bambú adorno/bolita madera de colores 15 cm PACK 100 Pzas. *15,0
006.2MADBA,Palillo Bambú para Brocheta Plano 12 cm Bolsa 100 Pzas. *15,0
006.1MADBA,Palillo Bambú para Brocheta Plano 9 cm Bolsa 100 Pzas. *15,0
012MADBA,Pinza Bambú 10 cm PACK 40 Pzas. *15,0
013MADBA,Pinza Bambú 16 cm PACK 40 Pzas. *15,0
016MADBA,"Tenedor Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",0
016MADBAP,Tenedor Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,0
007MADBA,Barquito (Badeja) Madera 7.5x5.5 cm PACK 100 Pzas. *15,0
008MADBA,Barquito (Bandeja) Madera 17.5x9 cm PACK 50 Pzas. *15,0
009MADBA,Barquito (Bandeja) Madera 19x9.6 cm PACK 50 Pzas. *15,0
010.0MADBA,Barquito (Bandeja) Madera 21.5x11.5 cm PACK 50 Pzas. *15,0
010.1MADBA,Barquito (Bandeja) Madera 25x11.5 cm PACK 50 Pzas. *15,0
011MADBA,Cono Bambú 12 cm (8.5x6.5x11.5) PACK 50 Pzas. *15,0
005NC,Bolsa camiseta Poliseda BIO Grande Vitabag 30x20X61 cm CAJA 10 KG. PS*5,0
006NC,Bolsa camiseta Poliseda BIO Mediana Vitabag 25x50 cm CAJA 10 KG. PS*5,0
006NCP,Bolsa camiseta Poliseda BIO Mediana Vitabag 30x60 cm PQTE 1 KG. PS*5,0
005NCP,Bolsa camiseta Poliseda BIOGrande Vitabag 30x20X61 cm PQTE 1 KG. PS*5,0
